TaskId,StartTime(s),EndTime(s)
0.0,0.09677419,0.09677419
2.0,0.14516128,0.14516128
1.0,0.19354838,0.19354838
2.0,0.29032257,0.29032257
0.0,0.29032257,0.29032257
1.0,0.38709676,0.38709676
2.0,0.43548388,0.43548388
0.0,0.48387093,0.48387093
1.0,0.58064513,0.58064513
2.0,0.58064513,0.58064513
0.0,0.67741937,0.67741937
2.0,0.72580647,0.72580647
1.0,0.77419352,0.77419352
2.0,0.87096776,0.87096776
0.0,0.87096776,0.87096776
1.0,0.96774187,0.96774187
2.0,1.01612901,1.01612901
0.0,1.06451618,1.06451618
1.0,1.16129028,1.16129028
2.0,1.16129028,1.16129028
0.0,1.2580645,1.2580645
2.0,1.30645155,1.30645155
1.0,1.35483872,1.35483872
2.0,1.45161294,1.45161294
0.0,1.45161294,1.45161294
1.0,1.54838705,1.54838705
2.0,1.59677419,1.59677419
0.0,1.64516124,1.64516124
1.0,1.74193549,1.74193549
2.0,1.74193549,1.74193549
0.0,1.83870973,1.83870973
2.0,1.88709678,1.88709678
1.0,1.93548383,1.93548383
2.0,2.03225803,2.03225803
0.0,2.03225803,2.03225803
1.0,2.12903237,2.12903237
2.0,2.17741942,2.17741942
0.0,2.22580647,2.22580647
1.0,2.32258057,2.32258057
2.0,2.32258057,2.32258057
0.0,2.41935491,2.41935491
2.0,2.46774196,2.46774196
1.0,2.51612901,2.51612901
2.0,2.61290311,2.61290311
0.0,2.61290311,2.61290311
1.0,2.70967745,2.70967745
2.0,2.7580645,2.7580645
0.0,2.8064516,2.8064516
1.0,2.90322589,2.90322589
2.0,2.90322589,2.90322589
0.0,3.0,3.0
2.0,3.04838705,3.04838705
1.0,3.0967741,3.0967741
2.0,3.19354844,3.19354844
0.0,3.19354844,3.19354844
1.0,3.29032254,3.29032254
2.0,3.33870959,3.33870959
0.0,3.38709688,3.38709688
1.0,3.48387098,3.48387098
2.0,3.48387098,3.48387098
0.0,3.58064508,3.58064508
2.0,3.62903237,3.62903237
1.0,3.67741942,3.67741942
2.0,3.77419352,3.77419352
0.0,3.77419352,3.77419352
1.0,3.87096767,3.87096767
2.0,3.91935491,3.91935491
0.0,3.96774196,3.96774196
1.0,4.06451606,4.06451606
2.0,4.06451606,4.06451606
0.0,4.16129016,4.16129016
2.0,4.20967721,4.20967721
1.0,4.25806474,4.25806474
2.0,4.35483884,4.35483884
0.0,4.35483884,4.35483884
1.0,4.45161294,4.45161294
2.0,4.5,4.5
0.0,4.54838705,4.54838705
1.0,4.64516115,4.64516115
2.0,4.64516115,4.64516115
0.0,4.74193525,4.74193525
2.0,4.79032278,4.79032278
1.0,4.83870983,4.83870983
2.0,4.93548393,4.93548393
0.0,4.93548393,4.93548393
1.0,5.03225803,5.03225803
2.0,5.08064508,5.08064508
0.0,5.12903213,5.12903213
1.0,5.22580623,5.22580623
2.0,5.22580623,5.22580623
0.0,5.32258081,5.32258081
2.0,5.37096786,5.37096786
1.0,5.41935491,5.41935491
2.0,5.51612901,5.51612901
0.0,5.51612901,5.51612901
1.0,5.61290311,5.61290311
2.0,5.66129016,5.66129016
0.0,5.70967721,5.70967721
1.0,5.80645179,5.80645179
2.0,5.80645179,5.80645179
0.0,5.90322589,5.90322589
2.0,5.95161294,5.95161294
1.0,6.0,6.0
2.0,6.0967741,6.0967741
0.0,6.0967741,6.0967741
1.0,6.1935482,6.1935482
2.0,6.24193525,6.24193525
0.0,6.29032278,6.29032278
1.0,6.38709688,6.38709688
2.0,6.38709688,6.38709688
0.0,6.48387098,6.48387098
2.0,6.53225803,6.53225803
1.0,6.58064508,6.58064508
